,name,shap_method,feat_import,feature_pos,unpriv_value,priv_value
0,compas_gb_orig,tree,0.006120284999716285,7,0.003763249889139701,-0.0073191401751367844
1,compas_rf_orig,tree,0.0027105726003714423,10,-0.001138793578109766,0.002278498867097389
2,compas_gb_rw,tree,0.03657324285430346,3,0.028002411352219914,-0.05400972561529918
3,compas_rf_rw,tree,0.0033609261567988428,11,0.0024579118630251354,-0.004335595855115396
4,compas_rf_usd-1,tree,0.03381258966713492,2,0.025455838710341697,-0.050813547387589
5,compas_gb_usd-1,tree,0.07075447987053066,1,0.0533168287824346,-0.10617257335206774
6,compas_rf_usd0,tree,0.009482633129661664,4,0.006922858201689101,-0.014690234211630413
7,compas_gb_usd0,tree,0.03700434070677406,3,0.02713637585083675,-0.057032360391349936
0,compas_svm_orig,kernel,0.003208399520772925,11,-0.00027493238646382674,-0.00123754030415011
1,compas_svm_usd-1,kernel,0.04098138185759925,2,0.024584208645043217,-0.07433975881090737
3,compas_rf_rw,kernel,0.0031474517852990236,11,0.00210102398392588,-0.004555096388579526
5,compas_gb_usd-1,kernel,0.06685531456743461,1,0.03985871843663792,-0.12177713667136494
6,compas_lr_orig,linear,0.04194609360966927,11,-0.03222598447291261,0.06172066453162131
7,compas_lr_orig,kernel,0.008439243384369001,7,0.005357506241979088,-0.014708723369378425
9,compas_rf_usd-1,kernel,0.03299043400009108,2,0.020099015740672924,-0.059216709967654435
11,compas_gb_rw,kernel,0.03740591901519938,3,0.02433238532036552,-0.06400269026660592
12,compas_svm_usd0,kernel,0.017595944913247345,3,0.0096105325383997,-0.03384145215249516
14,compas_rf_orig,kernel,0.002373835395964747,10,-0.0005278895331059712,0.0013594579714350447
16,compas_rf_usd0,kernel,0.009398205316674905,4,0.00550232166796331,-0.017323983353857233
17,compas_lr_usd-1,linear,0.28435956591027634,1,0.21281253958668764,-0.4299146956300091
18,compas_lr_usd-1,kernel,0.07055218075671227,1,0.042557900640597515,-0.127503689199324
19,compas_lr_rw,linear,0.11293432669040845,4,0.08659224752527601,-0.16617819796692562
20,compas_lr_rw,kernel,0.04059353113571144,3,0.02584243083021975,-0.0706031406024118
21,compas_svm_rw,kernel,0.01778499237556766,3,0.010334081670276943,-0.032943110468886386
23,compas_gb_usd0,kernel,0.03653915601207937,3,0.02205875769359743,-0.06599804988849951
24,compas_lr_usd0,linear,0.12181701504411982,4,0.08987679074503271,-0.186759085298458
25,compas_lr_usd0,kernel,0.03937282120583824,3,0.023505222348315584,-0.07165383313219892
27,compas_gb_orig,kernel,0.0058021363456511755,7,0.00299337924838509,-0.008145160094896678
