name,acc_test,acc_train,disp_impact,stat_parity,avg_odds,equal_opport,false_discovery_rate,entropy_index,acc_test_clf,acc_test_priv,acc_test_unpriv,consistency,counterfactual
adult_lr_orig,0.854,0.8518120393120393,0.1942219457189517,-0.18632105159051268,-0.16381064317879293,-0.2635352648522095,0.0329004329004329,0.08118474567722336,0.854,0.8213213213213213,0.9191616766467066,0.8991999999999997,-0.10060060060060061
adult_lr_usd-1,0.813,0.8202933046683046,1.3987845205112164,0.0401179622736509,0.19537624968138437,0.3191395961369623,0.4487138774214037,0.11153886475089976,0.813,0.7777777777777778,0.8832335329341318,0.9351999999999999,0.18018018018018017
adult_lr_usd0,0.841,0.8473203316953317,0.5809326229430902,-0.07991224757691824,0.0013079762477932917,-0.01243781094527363,0.35156416258778467,0.08919564655676845,0.841,0.8168168168168168,0.8892215568862275,0.9065999999999999,0.04204204204204204
adult_lr_rw,0.837,0.8483184889434889,0.6330196749358425,-0.06942871014727303,0.008795538436848004,-0.007462686567164201,0.3845238095238095,0.09128179509691839,0.837,0.8153153153153153,0.8802395209580839,0.9049999999999998,0.05105105105105104
adult_gb_orig,0.866,0.8687807125307125,0.20321141157176095,-0.18783154411896924,-0.1911196389966675,-0.33772314896107697,0.1839171974522293,0.0739653847727552,0.866,0.8438438438438438,0.9101796407185628,0.8979999999999997,-0.04204204204204204
adult_gb_usd-1,0.837,0.8401796683046683,1.1019539867633155,0.011634388879897858,0.18649640790355626,0.3182616330114136,0.39974937343358397,0.09575035687306101,0.837,0.8003003003003003,0.9101796407185628,0.9198,0.039039039039039033
adult_gb_usd0,0.862,0.8659014127764127,0.5024282144372673,-0.09488230745715776,-0.0038721950022184808,-0.017851916886157393,0.3036417322834646,0.07743483068158388,0.862,0.8378378378378378,0.9101796407185628,0.9095999999999999,0.0015015015015014954
adult_gb_rw,0.863,0.8653255528255528,0.5215108245048365,-0.09339878800956644,0.006449960822075579,0.0016095990635059954,0.3027149321266968,0.07645001801768399,0.863,0.8393393393393394,0.9101796407185628,0.9083999999999999,0.009009009009009028
adult_rf_orig,0.824,0.8285472972972973,0.03871867914656125,-0.14866663070255887,-0.19432439321419467,-0.3391864208369915,-0.22330097087378642,0.10509974897608658,0.824,0.7837837837837838,0.9041916167664671,0.9391999999999999,-0.015015015015015037
adult_rf_usd-1,0.773,0.7751842751842751,4.985029940119761,0.023934113754473036,0.09799092771436933,0.18598185542873866,0.3,0.14679215807765134,0.773,0.7042042042042042,0.9101796407185628,0.9866,0.03303303303303304
adult_rf_usd0,0.826,0.840333230958231,0.28150757308911584,-0.09169948391505278,-0.06735695337354972,-0.11793971319871233,0.16862745098039214,0.10427107950538593,0.826,0.7837837837837838,0.9101796407185628,0.9338,0.0
adult_rf_rw,0.831,0.8329622235872236,0.2918066306411567,-0.08719497941054827,-0.06554344029378723,-0.12291483757682176,0.2113821138211382,0.10104542602397959,0.831,0.7912912912912913,0.9101796407185628,0.9445999999999999,0.025525525525525533
adult_svm_orig,0.848,0.8532708845208845,0.14060340856748044,-0.20130010249770727,-0.1958816921087164,-0.3124085455077554,-0.07459207459207456,0.08483302326438126,0.848,0.8123123123123123,0.9191616766467066,0.9081999999999998,-0.025525525525525533
adult_svm_usd-1,0.792,0.796529484029484,2.6391334977104615,0.08367948787110464,0.238167983611355,0.3896693005560433,0.5777777777777777,0.12891669099975292,0.792,0.7492492492492493,0.8772455089820359,0.9516,0.02552552552552552
adult_svm_usd0,0.835,0.847742628992629,0.630584983878397,-0.06489723256190323,0.0233590113946397,0.027363184079601977,0.35250635250635254,0.09379961897364429,0.835,0.8078078078078078,0.8892215568862275,0.9191999999999999,0.03603603603603603
adult_svm_rw,0.83,0.8450936732186732,0.7282478521218433,-0.0469241696786607,0.06415819385048192,0.10111208662569504,0.34761904761904766,0.09641164873118424,0.83,0.8018018018018018,0.8862275449101796,0.9167999999999998,0.028528528528528524
