,name,shap_method,feat_import,feature_pos,unpriv_value,priv_value
0,default_gb_orig,tree,0.003185884841106905,20,-0.0025551385335631106,0.003941498667549143
1,default_rf_orig,tree,2.8955048712164656e-05,22,-2.216148645401251e-05,3.885328561409104e-05
2,default_rf_rw,tree,0.0004887582465685749,21,0.0003939298462697917,-0.0006269234587975145
3,default_gb_rw,tree,0.0019623413557256237,22,0.0016160549555198065,-0.002466881491652039
4,default_gb_usd-1,tree,0.013766909931031595,6,0.011958706348643064,-0.016314893384647186
5,default_rf_usd-1,tree,0.0021600540912283515,15,0.0017579291210816485,-0.0026759254389906637
6,default_gb_usd0,tree,0.0017982012837648843,22,0.0014947522601863419,-0.00216021257931731
7,default_rf_usd0,tree,0.0004074807197521569,20,0.000303922360653816,-0.0005464428104404326
1,default_rf_usd0,kernel,0.00020345181983250616,20,1.5297110022698283e-06,-0.0004861472541897772
3,default_gb_usd-1,kernel,0.010594944006812318,8,0.0013250674943103315,-0.023987659135789062
5,default_rf_orig,kernel,1.4999658974267126e-05,22,-2.0686791528277184e-06,3.160970753042882e-06
6,default_lr_rw,linear,0.025550432647731176,18,0.02094758862778544,-0.03225678769399125
7,default_lr_rw,kernel,0.004940993118859618,13,0.0004135896301156234,-0.011527969153354342
8,default_svm_usd0,kernel,0.0013305163287589193,14,6.212225042729492e-05,-0.0029763857827893717
10,default_rf_usd-1,kernel,0.0015780525274066586,16,3.036957615920315e-05,-0.003812646714602051
11,default_svm_orig,kernel,0.0004243375748093377,24,-1.223417872679873e-05,-0.0004264744499864964
13,default_gb_orig,kernel,0.0018263139652224566,21,-0.0001347724931913487,0.004267596973807948
14,default_svm_rw,kernel,0.001498763007937911,13,4.741519984437091e-05,-0.003462731291906072
15,default_svm_usd-1,kernel,0.003155886772566793,7,0.00017340638097544122,-0.00743613495720962
17,default_gb_rw,kernel,0.000939910472742867,22,2.9914824569494453e-05,-0.0022635489478124962
19,default_gb_usd0,kernel,0.0010691775925847674,22,2.9477159187070192e-05,-0.002539790515660571
20,default_lr_orig,linear,0.060524055781581924,8,-0.04964396771131725,0.07637637083236061
21,default_lr_orig,kernel,0.006162311662852485,10,-0.0005991465744136147,0.014267856865418219
22,default_lr_usd0,linear,0.030271186567240614,16,0.02526669203152405,-0.03756274740183493
23,default_lr_usd0,kernel,0.004959668069132107,13,0.00047807117762110147,-0.011489365751358215
25,default_rf_rw,kernel,0.0001674612215308226,21,3.936191103989733e-06,-0.00039581844976572416
26,default_lr_usd-1,linear,0.12499956108044265,2,0.1080696249843526,-0.149666519569341
27,default_lr_usd-1,kernel,0.017508644809476538,4,0.003554550522771669,-0.03783979447044949
