name,acc_test,acc_train,disp_impact,stat_parity,avg_odds,equal_opport,false_discovery_rate,entropy_index,acc_test_clf,acc_test_priv,acc_test_unpriv,consistency,counterfactual
pnad_genero_lr_orig,0.876,0.8920700157191511,0.7315879618301933,-0.02737982329156892,-0.024610889448617647,-0.04413919413919415,0.07158469945355189,0.06857521470592266,0.876,0.8662207357859532,0.8905472636815921,0.9365999999999999,-0.03678929765886288
pnad_genero_lr_usd-1,0.873,0.8903261723866911,1.3159203980099503,0.027471338957386987,0.10728930298910014,0.19560439560439558,0.08361204013377926,0.06974683815914758,0.873,0.8578595317725752,0.8955223880597015,0.9267999999999998,0.0050167224080267525
pnad_genero_lr_usd0,0.875,0.8920700157191511,0.9134153792441302,-0.008253049135592938,0.022392320323354815,0.04212454212454214,0.07318295739348374,0.06907546684205994,0.875,0.862876254180602,0.8930348258706468,0.9303999999999999,-0.021739130434782608
pnad_genero_lr_rw,0.875,0.8920618286612523,0.923314462171899,-0.007437727749213807,0.01905898699002147,0.032600732600732596,0.09578544061302685,0.06892669331149504,0.875,0.8645484949832776,0.8905472636815921,0.9289999999999998,-0.021739130434782608
pnad_genero_gb_orig,0.888,0.8959097458737229,0.5991569928137093,-0.048262034310055074,-0.042616855760871986,-0.06263736263736264,-0.05028735632183909,0.06108158575122103,0.888,0.8745819397993311,0.9079601990049752,0.9215999999999999,-0.04849498327759198
pnad_genero_gb_usd-1,0.893,0.8929951532617239,1.1850071675520701,0.0182532155277126,0.0968886758947611,0.17728937728937733,0.09880995311936533,0.05796073955058896,0.893,0.8795986622073578,0.9129353233830846,0.9134,-0.0066889632107023506
pnad_genero_gb_usd0,0.891,0.8954840188629813,1.0226990049751243,0.0024293249471705053,0.07559744852848299,0.1485347985347985,0.02982954545454547,0.05893348193998032,0.891,0.8745819397993311,0.9154228855721394,0.9168,-0.01839464882943144
pnad_genero_gb_rw,0.892,0.8955904506156668,0.9611940298507463,-0.004218040233614537,0.05979158772262219,0.11978021978021974,0.024175824175824145,0.05844875346260383,0.892,0.8762541806020067,0.9154228855721394,0.9161999999999999,-0.023411371237458192
pnad_genero_rf_orig,0.867,0.8743286612522924,0.5642477268828272,-0.021131799197989985,-0.026213397825973893,-0.045970695970695974,-0.025078369905956105,0.07651191693098153,0.867,0.8528428093645485,0.8880597014925373,0.9616,-0.023411371237458196
pnad_genero_rf_usd-1,0.857,0.8653720199109248,0.7437810945273632,-0.0068553553303715535,-0.016332426869952222,-0.03717948717948717,0.25,0.08335295581018223,0.857,0.8444816053511706,0.8756218905472637,0.9832,0.0
pnad_genero_rf_usd0,0.867,0.8740912365732251,1.4875621890547264,0.02527496297775337,0.07845005906872032,0.1368131868131868,0.16129032258064516,0.07568450291505154,0.867,0.8528428093645485,0.8880597014925373,0.9458,-0.0033444816053511683
pnad_genero_rf_rw,0.863,0.8717497380141472,1.2170963364993215,0.007986821744122193,0.034184963109912404,0.05934065934065935,0.1515151515151515,0.07907704225659214,0.863,0.8478260869565217,0.8855721393034826,0.963,-0.0016722408026755911
pnad_genero_svm_orig,0.88,0.8951483494891276,0.7685737976782753,-0.023220020299838606,-0.005794492863458371,-0.0056776556776556575,0.03924731182795699,0.06628257271114071,0.88,0.8678929765886287,0.8980099502487562,0.9305999999999999,-0.03678929765886288
pnad_genero_svm_usd-1,0.885,0.890850144092219,1.4280597014925374,0.0357909449408476,0.12549216503577557,0.2247252747252747,0.13416666666666668,0.06297085990552044,0.885,0.8712374581939799,0.9054726368159204,0.9279999999999999,0.0050167224080267525
pnad_genero_svm_usd0,0.88,0.8934208802724652,1.0960984550929562,0.009159886187790137,0.06957868027847747,0.1287545787545788,0.07644110275689225,0.06572049350661063,0.88,0.8662207357859532,0.900497512437811,0.9261999999999999,-0.010033444816053519
pnad_genero_svm_rw,0.882,0.8936746790673303,1.0891080312722103,0.008344564801411006,0.06916430763286749,0.1287545787545788,0.07360627177700352,0.06473517428700763,0.882,0.8678929765886287,0.9029850746268657,0.9277999999999998,-0.010033444816053505
