name,shap_method,feat_import,feature_pos,unpriv_value,priv_value
pnad_genero_rf_usd0,kernel,0.00044978218185553115,22,-0.000505694050850134,0.0004121959421635073
pnad_genero_gb_usd-1,kernel,0.00043724126316442,26,-0.0008997902917759526,0.00012629693289379113
pnad_genero_rf_orig,kernel,0.011195858270175494,4,-0.012362264656913605,0.01035334988529407
pnad_genero_rf_usd-1,kernel,0.0031439511726635994,10,0.005866452006224987,-0.0013137750270253497
pnad_genero_rf_rw,kernel,3.3899991059782894e-05,33,-3.587282405867449e-05,-2.8697586540838905e-05
pnad_genero_svm_rw,kernel,0.01205661632624619,5,-0.014033067828703278,0.010727964981785059
pnad_genero_gb_rw,kernel,0.01531562826623835,3,-0.019129918796291966,0.012751506538677192
pnad_genero_gb_usd0,kernel,0.01374251748347756,3,-0.02150870018458915,0.00847597103512338
pnad_genero_gb_orig,kernel,0.028716450228535303,1,-0.03452533526499582,0.024811480688974957
pnad_genero_lr_usd0,kernel,0.015504675746474232,6,-0.023638723742790104,0.01003663679242909
pnad_genero_svm_orig,kernel,0.029716984131686025,2,-0.034764635454875126,0.026323746954558913
pnad_genero_lr_orig,kernel,0.03387848220115784,2,-0.03910436935462754,0.030365427626417384
pnad_genero_svm_usd-1,kernel,0.0026595165866274404,23,0.002414525104944434,-0.0011722875437521223
pnad_genero_lr_usd-1,kernel,0.00011627555863201613,66,0.00028023561313378706,4.484706731244511e-06
pnad_genero_svm_usd0,kernel,0.012502744514095892,5,-0.018326308252708912,0.008587907352018243
pnad_genero_lr_rw,kernel,0.016856185544859875,6,-0.019398264297615292,0.015147296483642998
